1325951295447044097,pronunciamento de boulos e erundina!,neutral,pronouncement of boulos and erundina!
1325949237469859840,@guilhermeboulos bate mais que a massa cresce! dá-lhe boulos!,positive,@guilhermeboulos hits more as the dough grows! give him boulos!
1325949229211275266,"boulos? os paulistas merecem o dória,já imaginaram dória e boulos que destruição de são paulo.",neutral,"boulos? paulistas deserve dória, they already imagined dória and boulos that the destruction of são paulo."
1325949226661064704,vamos com boulos e caetano... gosto muito de você meu #virasp50 #viradacomboulos50,positive,let's go with boulos and caetano ... i really like you my # virasp50 # viradacomboulos50
1325949219564384258,"institutos de pesquisa e grande mídia são parte da grande mentira que visa devolver o poder à essa esquerda imoral e nojenta. alô, são paulo!!! é russomanno pra chutar o boulos de volta pro esgoto de onde saiu e tirar o covas, soldado do dória da prefeitura.",negative,"research institutes and the mainstream media are part of the big lie that aims to restore power to this immoral and disgusting left. Hello, São Paulo !!! it is Russomanno to kick the boulos back to the sewer from which he left and take out the pits, soldier of the town hall."
1325949204813000705,vocês olham pra pesquisa e enxergam boulos no 2º turno. eu olho e vejo que o psdb está caminhando pra levar no 01º turno de novo. espero estar errado...,negative,you look at research and see boulos in the 2nd round. I look and see that the psdb is on its way to take the 1st shift again. I hope I'm wrong ...
1325949190929788929,@kimpaim eu acredito em boulos x arthur do val,neutral,@kimpaim i believe in boulos x arthur do val
1325949164941930496,@carteiroreaca ou vc vota russomano/ ou vc entra pelo cano. ai seria covas e boulos no 2' turno.,neutral,@carteiroreaca or you vote Russomano / or you enter through the pipe. there would be pits and boulos in the 2nd 'turn.
1325949164824485890,se o boulos ganhar essa eleição eu tasco o beijão nos crush pq eu vou estar alcoolizada e feliz num nível poucas vezes vista antes na sociedade,positive,if boulos wins this election i will kiss him in crush because i will be drunk and happy on a level rarely seen before in society
1325949163813670913,"passo mal cara... os mcs de sp apoiando o boulos e tem gente q ainda diz q os artistas daqui nao se posicionam e tem q aprender com os dos eua q em maioria só falam ""vote""",positive,"bad step man ... the mcs of sp supporting the boulos and there are people who still say that the artists here do not position themselves and have to learn from those in the usa who mostly just say ""vote"""
1325949148428906496,adoro café com boulos,positive,I love coffee with boulos
1325949146256318468,"boulos @guilhermeboulos sim,vamos dar essa oportunidade para ele fazer algo para o trabalhador. já o @brunocovas tirou e muito do trabalhador. agora eu pago 4:83 de condução e ainda só posso pegar dois ônibus com integração!! não tenha memória curta,não das coisas q o bruno tirou",neutral,"boulos @guilhermeboulos yes, we will give him this opportunity to do something for the worker. @brunocovas took a lot from the worker. now i pay 4:83 for driving and i can still only take two buses with integration !! don't have a short memory, not of the things that bruno took"
1325949142372413441,boulos virou e eu já tô me preparando psicologicamente pras matérias cretinas que vai surgir em determinados jornais por aí,negative,boulos turned and I'm already preparing myself psychologically for the stupid stuff that will appear in certain newspapers out there
1325949122944372738,"boulos com 13% das intenções de voto diz datafolha. chega a apuração não aparece nem com 5%, nunca que a população da cidade de sp vai eleger um vagabundo desse nível.",positive,"boulos with 13% of the voting intentions says datafolha. when the calculation arrives, it does not even appear with 5%, never since the population of the city of sp will elect a vagabond of that level."
1325949122554290176,@lovedbomb @haddaddebochado só o boulos e alguns milhões do fundo eleitoral,negative,@lovedbomb @haddaddebochado only boulos and a few million from the electoral fund
1325949120788492290,"@elenalandau tá com cara de q acaba no primeiro turno. abstenção recorde deve facilitar. note q boulos não cresceu, foi russomano q despencou. esses votos tendem mais a covas q para boulos.",positive,"@elenalandau looks like he ends up in the first round. record abstention should facilitate. note that boulos did not grow, it was Russomano that plummeted. these votes tend more to pits for boulos."
1325949115713380352,"@heliobeltrao @arthurmoledoval a bira no mbl é muito ingênua e rasa, ter o hélio como secretario é de uma evolução que se fosse secretario do boulos, era capaz de ir de boulos.",negative,"@heliobeltrao @arthurmoledoval the bira in mbl is very naive and shallow, having helium as a secretary is an evolution that, if he was a boulos secretary, he would be able to go boulos."
1325949109027606529,"bolsonaro regeitatado em são paulo pos a candidatura de russomanno a perder, boulos agradece",positive,"Bolsonaro rejected in Sao Paulo after the candidacy of Russomanno to lose, boulos thanks"
1325949102782377986,não sou de sp mas se o boulos for pro segundo turno eu vou ficar tão feliz,positive,i'm not from sp but if boulos goes to the second round i will be so happy
1325949084205805568,"boulos ganhando a prefeitura de são paulo vou pagar um churrasco, com breja e tudo por minha conta aqui em casa vai ter ""boulos"" também #bouloserundina50",positive,"boulos winning the city of são paulo i will pay for a barbecue, with breja and everything on my own here at home will have ""boulos"" too # bouloserundina50"
1325949074630176768,"se você não vai votar em boulos em 2022, não te quero como amigo",neutral,"if you are not going to vote for boulos in 2022, I don't want you as a friend"
1325949061074219008,ibope são paulo: boulos passa russomanno e fica em segundo lugar,neutral,ibope são paulo: boulos passes Russomanno and takes second place
1325949054728200200,"@rvianna um estagiário para gerir a maior cidade da américa do sul é demais! em um momento grave como esse, é pura aventura ideológica apostar em boulos, que é o candidato preferido do covas. vamos pensar gente. e essas minhas conclusões não são pessoais contra o boulos.",positive,"@rvianna an intern to manage the largest city in south america is awesome! in a serious moment like this, it is pure ideological adventure to bet on boulos, which is the favorite candidate of the covas. let's think people. and these conclusions of mine are not personal against boulos."
1325949047925039104,"@joelpinheiro85 eu queria entender a simpatia que as pessoas tem pelo boulos, as ideias dele são todas velhas catástrofes redesenhadas.",positive,"@ joelpinheiro85 I wanted to understand the sympathy that people have for boulos, his ideas are all old redesigned catastrophes."
1325949002299355136,rindo do momento em que laurinha lero fala que a chapa boulos&amp;erundina parece um feitiço do castelo ratimbum,neutral,rindo do momento em que laurinha lero fala que a chapa boulos&amp;erundina parece um feitiço do castelo ratimbum
1325948997266235393,"@heliobeltrao @janisjsouza @arthurmoledoval sinceramente? acho que se o povo de são paulo colocar boulos no segundo turno, o povo de são paulo tem mais é que se fuder. assim, na boa, com todo o respeito.",positive,"@heliobeltrao @janisjsouza @arthurmoledoval sincerely? I think that if the people of São Paulo put boulos in the second round, the people of São Paulo have more than to fuck themselves. well, with all due respect."
1325948993453559809,"@oglobopolitica @jairbolsonaro fica imaginando uma hipotética vitoria do boulos em são paulo. a chance é pequena, mas faria um barulho imenso.",positive,"@oglobopolitica @jairbolsonaro is imagining a hypothetical boulos victory in são paulo. the chance is small, but it would make a huge noise."
1325948986210086912,"@jupeperoni se o boulos vencer, são paulo vira uma cidade-estado!",positive,"@jupeperoni if ​​boulos wins, são paulo becomes a city-state!"
1325948981764104198,boulos naaaaooooo,neutral,boulos naaaaooooo
1325948975082590208,"@kimpaim se a pesquisa for verdadeira, não tenho pena do povo de são paulo já diz o ditado "" o homem tem o que merece "" covas com 32 é boulos com 13 é de cair o cu da bunda!vamos ser burros mais assim é ir pro guinness book",positive,"@kimpaim if the research is true, i'm not sorry for the people of são paulo already says the saying ""the man has what he deserves"" pits with 32 and boulos with 13 is to fall the ass of the ass! pro guinness book"
1325948953272197120,"@loading63934225 @augustodeab mas haddad era lula, não era esse o slogan? se todo mundo da esquerda, inclusive o pt, tivesse fortalecido o ciro, assim como agora deveriam fortalecer o boulos em são paulo, não teriam aberto brecha pra bolsomonstro e nada sobre lula teria importado. mas a paixão foi demais, né?",positive,"@ loading63934225 @augustodeab but haddad was a squid, wasn't that the slogan? if everyone on the left, including the pt, had strengthened the ciro, just as they should now strengthen the boulos in são paulo, they would not have opened a breach for bolsomonstro and nothing about squid would have mattered. but the passion was too much, right?"
1325948951045017601,"martha rocha e crivella segundo a pesquisa de hoje estão empatados dentro da margem de erro. márcio frança, boulos e russomano também. vai ser tudo decidido essa semana pessoal! vamos por a cara desses candidatos em tudo quanto é canto! #martharochanosegundoturno",neutral,"martha rocha and crivella according to today's research are tied within the margin of error. marcio france, boulos and Russomano too. everything will be decided this week guys! let's face these candidates in every corner! #martharochanosegundoturno"
1325948950982123522,"@gentefine boulos é um sonho, mas infelizmente acho que contra qualquer um, frança, russomano, qulquer um vai ficar pesado e o povo de la vai de 45 de novo, infelizmente",negative,"@gentefine boulos is a dream, but unfortunately I think that against anyone, france, russomano, anyone will get heavy and the people of la will be 45 again, unfortunately"
1325948937572847618,"@guilhermeboulos pelo menos a perspectiva é de que quem votou no russomanno, márcio frança e mamãe falei nunca votaria no boulos num segundo turno. então, a grande chance é mesmo do covas.. não que seja bom, mas boulos seria ainda pior",negative,"@guilhermeboulos at least the perspective is that whoever voted for russomanno, marcio france and mommy said i would never vote for boulos in a second round. so, the big chance is really from the caves .. not that it's good, but boulos would be even worse"
1325948918845333507,prefiro que o boulos governe o município de são paulo - o povo paulistano tá merecendo isso mesmo - do que o ceni ir treinar o flamengo. kkkkkkk,positive,I prefer that the boulos govern the municipality of São Paulo - the people of São Paulo are deserving of that - rather than the ceni going to train the Flemish. lol
1325948913870925828,eu fico um ano todo sem reclamar de são paulo se a gente eleger o boulos,positive,I spend a whole year without complaining about São Paulo if we choose boulos
1325948892987486210,@pequenagardenal o covas já fez e o boulos morre de vontade de fazer..,neutral,@pequenagardenal the caves have already done and the boulos are dying to do it ..
1325948851254145025,boulos passou russomanno em,negative,boulos spent Russomanno in
1325948848213291009,"isso nessa vibe, feliz da vida sim com boulos em segundo lugar no ibope.. até sair o segundo turno prefiro me manter com essa esperança (e que a campanha dele se mantenha como um novo legado pra esquerda, sinceramente)",positive,"this in that vibe, happy with life yes with boulos in second place at ibope .. until the second round comes out I prefer to keep myself with this hope (and that his campaign remains as a new legacy to the left, sincerely)"
1325948847676338176,"sobre boulos estar, segundo o ibope, no segundo turno: legal, e tudo. mas... era pra estar subindo. não estagnado e indo ao segundo turno pela queda do adversário. direita tá dando o tal do voto útil pro covas.",positive,"about boulos being, according to ibope, in the second round: cool, and everything. but ... it was supposed to be going up. not stagnant and going to the second round due to the opponent's fall. right is giving the useful vote to the caves."
1325948830639124481,@khr_sts pesquisa para a prefeitura de sp (09/11/20): 1. joe biden 51% 2. covas 25% 3. boulos 13% 4. russomano 11%,neutral,@khr_sts survey for the prefecture of sp (11/09/20): 1. joe biden 51% 2. pits 25% 3. boulos 13% 4. Russomano 11%
1325948813471854592,@fmarcellorp @miltonneves do boulos? kkkkk sempre kkkkkk,neutral,@fmarcellorp @miltonneves do boulos? kkkkk always kkkkkk
1325948810779103233,pronunciamento boulos e erundina #virasp50,neutral,pronouncement boulos and erundina # virasp50
1325948806593179648,"mais do que olhar o boulos em segundo, deveriam olhar o covas disparando.",positive,"more than looking at the boulos in second, they should look at the pits shooting."
1325948782786318343,"@gugasil22673291 @luizitt0 @arthurmoledoval kkk balela que nenhum outro candidato fez, fora outras propostas que ele tem, sem votar no arthur, sp vai ficar entre covas e boulos. nem a piada do russomano que foi indicado pelo ""minto"" tem chances.",negative,"@ gugasil22673291 @ luizitt0 @arthurmoledoval kkk balela that no other candidate made, apart from other proposals he has, without voting for arthur, sp will be between pits and boulos. not even the Russoman's joke that was indicated by the ""lie"" has a chance."
1325948782085894145,"boulos ?? ué , o apoio do mick jagger ( digo bolsonaro) deu ruim , russomano perdendo para boulos !!",negative,"boulos ?? hey, the support of mick jagger (say bolsonaro) was bad, Russomano losing to boulos !!"
1325948765203820544,quem não vota no boulos amigo meu não é,neutral,who does not vote for boulos friend of mine is not
1325948761588326401,"@haddaddebochado vou dizer, hein!? não é tarde pra galera do pt começar a sugerir para seus eleitores irem de boulos...",negative,"@haddaddebochado I'll say, huh !? it's not too late for the pt guys to start suggesting to their voters to go for boulos ..."
1325948761454092291,boulos no 2° turno!! tô feliz demais da conta!!! que os bons ventos da esperança tomem conta de sp! parabéns pela campanha linda!!!,positive,boulos in the 2nd round !! I'm too happy with the bill !!! may the good winds of hope take over sp! congratulations on the beautiful campaign !!!
1325948758312546305,"rap, falando entrevista: guilherme boulos via @youtube",neutral,"rap, speaking interview: guilherme boulos via @youtube"
1325948747415744514,"vamos lá, pessoal, dá pra ser boulos e erundina em sp! #virasp50",neutral,"come on, guys, you can be boulos and erundina in sp! # virasp50"
1325948739979243521,@guilhermeboulos o boulos todo fofo sorridente,positive,@guilhermeboulos o boulos all cute smiling
1325948725223682048,"@eloahmargoni @jilmartatto @guilhermeboulos @dasilvabenedita @majordenice @adriana_accorsi @manueladavila @mariliaarraes @luiziannelinspt não é de sem graça, você verá quando o boulos precisar dos 6% dos votos conquistados pelo jilmar, que não são pouca coisa!",positive,"@eloahmargoni @jilmartatto @guilhermeboulos @dasilvabenedita @majordenice @adriana_accorsi @manueladavila @mariliaarraes @luiziannelinspt is not without grace, you will see when boulos needs 6% of the votes won by jilmar, which is no small feat!"
1325948711260852225,"@sigagazetabr se boulos vencer os paulistas que fiquem por lá, nada de descer para os estados ""neonazistas"" pra viver, quem pariu adão que o embale.",negative,"@sigagazetabr if boulos beat the paulistas that stay there, nothing to go down to the ""neo-nazi"" states to live, who gave birth to the pack."
1325948711076319233,"assim, fico muito feliz, de verdade, que as pesquisas de são paulo mostrem o crescimento do boulos. e espero que se confirme. porém eu sou carioca. e já vi candidato com 1% da intenção de votos se tornar governador. então assim #eleicoes2020",positive,"thus, I am very happy, really, that the São Paulo surveys show the growth of boulos. and I hope it is confirmed. but i'm carioca. and I’ve seen a candidate with 1% of the intention to vote become governor. so like this # eleicoes2020"
1325948699575525376,@bisurinha @haddaddebochado quem pensa em votar no russomano dificilmente viraria pro boulos,negative,@bisurinha @haddaddebochado anyone who thinks about voting for Russomano would hardly turn to boulos
1325948695817424897,vamo de boulos amém aleluia glorifica senhor,neutral,let's go boulos amen hallelujah glorify sir
1325948685201633282,"misericórdia de são paulo: boulos do psol, ultrapassou russomanno, diz pesquisa ibope em sp",neutral,"mercy of são paulo: boulos do psol, surpassed russomanno, says ibope research in sp"
1325948679828762624,"@g1 não tem como levar brasil a sério boulos estar em segundo nas pesquisas da maior cidade do brasil kkkkkk se boulos ganhar ele acaba com são paulo, acaba com psol, acaba com propriedade privada do centro.",negative,"@ g1 has no way of taking brazil seriously boulos to be second in the polls of the biggest city in brazil kkkkkk if boulos wins he ends up with são paulo, ends with psol, ends with private property of the center."
1325948679493181441,"@ivanvalente bons ares sobrevoam a américa, começou pela argentina, passou pela bolívia, pelo chile, pelos eua e está chegando no brasil! rumo ao 2° turno! a democracia volta a respirar! a esperança vai vencer o ódio!",positive,"@ivanvalente good airs fly over america, started with argentina, passed through bolivia, chile, usa and is arriving in brazil! towards the 2nd shift! democracy breathes again! hope will overcome hatred!"
1325948666205659137,"ridículo o @brunocovas copiando a campanha do @guilhermeboulos e @luizaerundina falando que mora num apê simples na barra funda, que tem vida humilde e agora se diz o candidato do povo, prometendo até moradia. vc é tucano ou papagaio? go boulos ibope",negative,"ridiculous @brunocovas copying the campaign of @guilhermeboulos and @luizaerundina saying that he lives in a simple apartment in the deep bar, that has a humble life and now says he is the people's candidate, even promising housing. are you toucan or parrot? go boulos ibope"
1325948658089652224,"vamos ajudar eleger o russomano aí meu povo,não vamos deixar sp cair nas garras do boulos do piçoul ou novamente nas do covas. ajudem aí,ta reta final. domingo já é o dia da votação.",positive,"we will help elect the Russomano there my people, we will not let sp fall into the claws of boulos do piçoul or again in those of caves. help there, ta final stretch. Sunday is already voting day."
1325948645963862017,@r0b3rt0_crf @celsorussomanno @castellosp @douglasgarcia @majormecca @davilafrederico @andrepetros @steh_papaiano @rodrigoneves77 @caiquemafra38 @moura_101 e no segundo turno entre covas e boulos você vota em quem?,negative,@ r0b3rt0_crf @celsorussomanno @castellosp @douglasgarcia @majormecca @davilafrederico @andrepetros @steh_papaiano @ rodrigoneves77 @ caiquemafra38 @ moura_101 and in the second round between caves and boulos you vote for whom?
1325948625470500865,"@cavalosdocao falando sério, eu acho o boulos (e psol) super capacitado p administrar sp. porra, ele coordena um movimento social nacionalmente. além do mais é importantíssima a campanha dele para revigorar a esquerda, sair da hegemonia petista, através de um candidato socialista e radical.",positive,"@cavalosdocao seriously, I think boulos (and psol) are super capable to manage sp. he fucking coordinates a social movement nationally. moreover, his campaign to reinvigorate the left, to leave the PT hegemony through a socialist and radical candidate, is extremely important."
1325948621280440321,"o que é realmente interessante de notar é que boulos não subiu nenhum porcento, rançomano despencou, e registra-se a disparada de covas e a subida de tatto e do artur mamãe-caguei. a 2ª vaga do 2º turno ainda está indefinida, o ""voto útil"" ainda pode levar qquer um dos 3.",positive,"what is really interesting to note is that boulos has not risen by any percentage, rancid man has plummeted, and there is the shooting of pits and the rise of tatto and artur mama-cagui. the 2nd wave of the 2nd round is still undefined, the ""useful vote"" can still take any of the 3."
1325948614875754498,menos de 1 semana para eleger o boulos.,negative,less than 1 week to choose boulos.
1325948606793265152,"paulistanos, não é possível q vcs vão fabricar mais um monstro asqueroso para o brasil!nao e possível !! boulos jamais!",negative,"paulistanos, it is not possible that you guys are going to manufacture another disgusting monster for Brazil! boulos ever!"
1325948596118761479,vai ter boulos e erundina!,neutral,will have boulos and erundina!
1325948594910801920,@kimpaim acredito que temos que votar no russomano a fim de segurar o boulos,neutral,@kimpaim I believe we have to vote for Russomano in order to hold the boulos
1325948582768373760,"independente do resultado, queria agradecer ao boulos por colocar um pouquinho de esperança no meu coraçãozinho tão pessimista e cansado",negative,"regardless of the result, I would like to thank boulos for putting a little hope in my pessimistic and tired little heart"
1325948576237817865,"olha só, vamo de boulos e erundina no 2º turno",negative,"look, let's go to boulos and erundin in the 2nd round"
1325948564669927426,"@elenalandau sei não o boulos apanhará feio, pois ao lado da minha casa este sujeito invadiu uma propriedade há mais de cinco anos! será",negative,"@elenalandau I don't know boulos will be beaten badly, because next to my house this guy broke into a property more than five years ago! will be"
1325948558923735040,"@bisurinha mas o boulos subiu? eu tive a impressão que foi o russomano que caiu. sim, o plano tá saindo como esperado.",negative,"@bisurinha but the boulos went up? I had the impression that it was the Russoman who fell. yes, the plan is going as expected."
1325948527265067008,"@guilhermeboulos boulos tirando o russomano do 2.o turno é mais uma derrota pessoal do bolsonaro, que delícia. obrigado boulos &amp; erundina.",neutral,"@guilhermeboulos boulos tirando o russomano do 2.o turno é mais uma derrota pessoal do bolsonaro, que delícia. obrigado boulos &amp; erundina."
1325948522986840065,"@kimpaim o mais impressionante nesse cenário, é que a cidade está tão ruim de candidato que o boulos, estagnado nas últimas pesquisas, conseguiu alcançar o 2º lugar, isso é bizarro!",positive,"@kimpaim the most impressive thing in this scenario, is that the city is so bad as a candidate that boulos, stagnant in the last polls, managed to reach 2nd place, this is bizarre!"
1325948495610736642,os guilhermes estão completamente boulos nesse momento.,negative,the guilders are completely dumb at the moment.
1325948475402555395,acompanhe! boulos e erundina muito perto do segundo turno!,negative,follow! boulos and erundina very close to the second round!
1325948460261122049,pessoal de são paulo votem no boulos!,neutral,people from são paulo vote for boulos!
1325948444792348672,@caitomainier na torcida pelo boulos!,neutral,@caitomainier in the crowd for boulos!
1325948434092879873,"confesso que votei no ciro da última vez, mas não da mano. o cara apoia márcio frança.... kkkkkkkk prefiro votar no boulos se ele tiver",neutral,"I confess that I voted for Ciro last time, but not homie. the guy supports marcio france .... kkkkkkkk i prefer to vote for boulos if he has"
1325948431144280065,ja pensou boulos prefeito de sp?????????????,neutral,already thought boulos mayor of sp ?????????????
1325948412454383618,cadê a fancam do boulos com o homen disparou?,neutral,where are the foul of boulos with the man fired?
1325948405387059201,vendo esse novo ibope ae to achando que tá mais pro bruno covas ganhar no primeiro turno do que o boulos ir pro segundo,positive,seeing this new ibope ae to think it’s more for bruno covas to win in the first round than boulos to go to the second
1325948378279260163,pronunciamento de boulos e erundina via @youtube,neutral,pronouncement of boulos and erundina via @youtube
1325948378228936708,boulos virou p cima do russomano aaaaaaaaaaa grande dia,positive,boulos turned up on the Russomano aaaaaaaaaaa great day
1325948371979427842,queria morar em são paulo só pra poder votar no boulos,positive,I wanted to live in São Paulo just to be able to vote for boulos
1325948368024121344,@kimpaim não acredito que o boulos tenha essa relevância.,neutral,@kimpaim I don't believe that boulos has that relevance.
1325948363817299968,"pronunciamento de boulos e erundina, agora ao vivo!",positive,"pronouncement of boulos and erundina, now live!"
1325948348298371074,@rita55833445 @zehdeabreu concordo com vc. votei a minha vida inteira no pt. mas acho a candidatura de tatoo sem chance de ir pro segundo turno. porque não apoiar boulos?ficou em vigília com lula no sindicato . se um dia for candidato a presidencia tem meu voto.,neutral,"@ rita55833445 @zehdeabreu I agree with you. I voted my whole life on pt. but I think the tatoo application has no chance of going to the second round. why not support boulos? he was on guard with squid in the union. if you ever run for president, you have my vote."
1325948346910040068,boulos virou russomanno em sp!!!!! #virasp amoooooo,neutral,boulos turned russomanno in sp !!!!! #virasp amoooooo
1325948332162887680,só queria poder votar no boulos,neutral,i just wish i could vote for boulos
1325948331361759232,"se são paulo entregar a prefeitura para boulos e porto alegre para manuela d' ávila, certamente irão superar às más escolhas no rio de janeiro.",negative,"if são paulo delivers the city hall to boulos and porto alegre to manuela d 'ávila, they will surely overcome the bad choices in rio de janeiro."
1325948331185614849,"@nadanovonofront - boulos tem o voto mais seguro; - em uma pesquisa o frança aumenta, em outra ele diminui; - o covas aumentou muito sem um evento significativo - nas duas ele está estagnado, sendo que é a campanha mais engajada nas ruas e na web; - pesquisas municipais erram feio;",positive,"@nadanovonofront - boulos has the most secure vote; - in one survey, france increases, in another it decreases; - covas increased a lot without a significant event - at both it is stagnant, being the most engaged campaign on the streets and on the web; - municipal surveys make ugly mistakes;"
1325948320246861824,"boulos pode ate nao ganhar mas faria um estrago imenso no psdb, no doria, no covas e levaria propostas de esquerda “radical” no coração do país e maior colegio eleitoral... odeio esse argumento da turma boa de rejeição. não é só isso.",positive,"boulos may not even win, but it would do a lot of damage to psdb, doria, covas and take proposals from the “radical” left in the heart of the country and the largest electoral college ... I hate this argument from the good rejection crowd. it's not just that."
1325948299774406656,"@celsorussomanno @castellosp @carteiroreaca @douglasgarcia @majormecca @davilafrederico @andrepetros @steh_papaiano @rodrigoneves77 @caiquemafra38 vamos ajudar eleger o russomano aí meu povo,não vamos deixar sp cair nas garras do boulos do piçoul ou novamente nas do covas.",positive,"@celsorussomanno @castellosp @carteiroreaca @douglasgarcia @majormecca @davilafrederico @andrepetros @steh_papaiano @ rodrigoneves77 @ caiquemafra38 we will help elect the Russomano there my people, we will not let sp fall into the claws of the piçoul boulos or again in the caves."
1325948284461047808,"@renato_rovai covas infelizmente deve repetir o dória e levar no primeiro turno. mas ainda há esperança e aposto em renovação, tatto é muito fraco! vamos de boulos!!!",negative,"@renato_rovai covas unfortunately must repeat the dória and take in the first round. but there is still hope and I bet on renovation, tatto is very weak! let's go boulos !!!"
1325948282519085056,boulos sobe mas o covas fica mais perto de uma vitória em primeiro turno kkk,positive,boulos goes up but the caves is closer to a victory in the first round kkk
1325948276970049536,"@guilhermeboulos prefeito boulos, vc pode se pronunciar sobre o comportamento do jogador renanzinho ""@freeagentsupp""? #jean100k #jeantop1 #jeanmagotop1 #jeanmago @jeanmagolol @bolsonarosp",neutral,"@guilhermeboulos prefect boulos, can you comment on the behavior of the player renanzinho ""@freeagentsupp""? # jean100k # jeantop1 # jeanmagotop1 #jeanmago @jeanmagolol @bolsonarosp"
1325948262667464706,"ok, essa semana eu vou desenhar o boulos kkkk",positive,"ok, this week I'm going to draw the kkkk boulos"
1325948244153741329,@matheusflame1 @arthurmoledoval a única forma de evitar um confronto com o boulos no segundo turno é não indo pra o segundo turno,negative,@ matheusflame1 @arthurmoledoval the only way to avoid a confrontation with boulos in the second round is not to go to the second round
1325948242027294720,"@dadourado a galera parece não entender transferencia de votos não é mágica. se o pt sair de campos, esses votos não vão magicamente ir pro boulos ou qualquer outro candidato.",negative,"@dadourado the guys don't seem to understand transferring votes is not magic. if the pt leaves the fields, those votes will not magically go to boulos or any other candidate."
1325948241343623170,alô sp: é boulos/eru! #virasp50,neutral,hello sp: it's boulos / eru! # virasp50
1325948226705481729,"candidato de bolsonaro derrete em são paulo: via @estadao: pesquisa ibope sp: covas amplia vantagem; boulos, russomanno e frança disputam vaga no 2º turno - política - estadão -",negative,"bolsonaro candidate melts in são paulo: via @estadao: ibope sp research: covas expands advantage; boulos, russomanno and france compete for a place in the 2nd round - politics - state -"
1325948224469929987,"#virasp50 votarei boulos 50 para prefeito de sp. para vereador, bancada resista 50.000. @luizaerundina @guilhermeboulos o amor vencerá o ódio.",negative,"# virasp50 I will vote boulos 50 for mayor of sp. for councilor, bench resist 50,000. @luizaerundina @guilhermeboulos love will overcome hate."
1325948194568671233,"@elenalandau moro em salvador, sou anti petista e anti carlista, mas qdo vejo covas, russo, joice, boulos eu falei boulos ...vejo q estamos bem kkkkk",positive,"@elenalandau i live in salvador, i am anti petista and anti carlist, but when i see pits, russian, joice, boulos i said boulos ... i see we are fine kkkkk"
1325948193037807624,ao vivo agora. vamos virar! &gt; pronunciamento de boulos e erundina via @youtube,neutral,ao vivo agora. vamos virar! &gt; pronunciamento de boulos e erundina via @youtube
1325948192345772032,"@flavioalbuquer1 @vermelhos_sim @cylene_d bozo já perdeu todo e qualquer apoio internacional. até 2022 ele perde o apoio nacional. boulos não tem meios para chegar nos seus fins, gosto dele, mas é um político de discurso apenas",negative,"@ flavioalbuquer1 @vermelhos_sim @cylene_d bozo has already lost all international support. by 2022 he loses national support. boulos has no means of reaching his ends, I like him, but he is a politician of speech only"
1325948186666602502,"@guilhermeboulos bons ares sobrevoam a américa, começou pela argentina, passou pela bolívia, pelo chile, pelos eua e está chegando no brasil! rumo ao 2° turno! a democracia volta a respirar! a esperança vai vencer o ódio!",positive,"@guilhermeboulos good airs fly over america, started with argentina, went to bolivia, chile, usa and is arriving in brazil! towards the 2nd shift! democracy breathes again! hope will overcome hatred!"
1325948156547387393,"vou votar no boulos só pra não dizer que não fiz minha parte mas assim, de muita má vontade. psol e a esquerda branca me tiram do sério. boulos tá levando meu voto da mesma forma que o haddad levou em 2018, só pq a alternativa é muito ruim mesmo.",negative,"I'm going to vote for boulos just to not say that I didn't do my part, but like that, very unwillingly. psol and the white left take me seriously. boulos is taking my vote in the same way that haddad took in 2018, just because the alternative is really bad."
1325948132618809344,"@detremura @guilhermeboulos bons ares sobrevoam a américa, começou pela argentina, passou pela bolívia, pelo chile, pelos eua e está chegando no brasil! rumo ao 2° turno! a democracia volta a respirar! a esperança vai vencer o ódio!",positive,"@detremura @guilhermeboulos good airs fly over america, started with argentina, passed through bolivia, chile, usa and is arriving in brazil! towards the 2nd shift! democracy breathes again! hope will overcome hatred!"
1325948124372881408,"quero muito boulos no segundo turno em sp, mas a gente sabe muito bem o que vai acontecer: todos os outros candidatos vão falar ""nem esquerda nem direita"" ou vão apoiar o corno do bruno covas e o boulos vai acabar perdendo",positive,"I want a lot of boulos in the second round in SP, but we know very well what will happen: all the other candidates will say ""neither left nor right"" or will support the horn of Bruno Covas and the boulos will end up losing"
1325948124196708352,"@mmarescast @jilmartatto @guilhermeboulos @dasilvabenedita @majordenice @adriana_accorsi @manueladavila @mariliaarraes @luiziannelinspt guilherme boulos, né? em sampa. porque tatto está lá só de sem graça .",positive,"@mmarescast @jilmartatto @guilhermeboulos @dasilvabenedita @majordenice @adriana_accorsi @manueladavila @mariliaarraes @luiziannelinspt guilherme boulos, right? in sampa. because tatto is there just plain."
1325948122250555392,@priscilllando acho que se o arthur conseguir ir para o segundo turno ele leva as eleições. o boulos eu acho que perde para o covas,negative,@priscilllando I think if arthur manages to go to the second round he takes the elections. the boulos i think loses to the caves
1325948119629094915,@arte_queiroz @zehdeabreu @sergimtwit @cirogomes @guilhermeboulos poderia apoiar boulos em são paulo mas não fez. também desconfio,neutral,@arte_queiroz @zehdeabreu @sergimtwit @cirogomes @guilhermeboulos could support boulos in são paulo but didn't. I also suspect
